Start,End,Strand,Gene_ID,Gene_Name
1,1524,+,Rv0001,dnaA
1525,2051,+,upstream_Rv0002,upstream_dnaN
2052,3260,+,Rv0002,dnaN
3261,3279,+,upstream_Rv0003,upstream_recF
3280,4437,+,Rv0003,recF
4434,4997,+,Rv0004,Rv0004
4998,5239,+,upstream_Rv0005,upstream_gyrB
5240,7267,+,Rv0005,gyrB
7268,7301,+,upstream_Rv0006,upstream_gyrA
7302,9818,+,Rv0006,gyrA
9819,9913,+,upstream_Rv0007,upstream_Rv0007
9914,10828,+,Rv0007,Rv0007
10829,10886,+,upstream_Rvnt01,upstream_ileT
10887,10960,+,Rvnt01,ileT
10961,11111,+,upstream_Rvnt02,upstream_alaT
11112,11184,+,Rvnt02,alaT
11185,11873,-,upstream_Rv0008c,upstream_Rv0008c
11874,12311,-,Rv0008c,Rv0008c
12312,12467,+,upstream_Rv0009,upstream_ppiA
12468,13016,+,Rv0009,ppiA
13017,13132,-,upstream_Rv0010c,upstream_Rv0010c
13133,13558,-,Rv0010c,Rv0010c
13559,13713,-,upstream_Rv0011c,upstream_Rv0011c
13714,13995,-,Rv0011c,Rv0011c
13996,14088,+,upstream_Rv0012,upstream_Rv0012
14089,14877,+,Rv0012,Rv0012
14878,14913,+,upstream_Rv0013,upstream_trpG
14914,15612,+,Rv0013,trpG
15590,17470,-,Rv0014c,pknB
17467,18762,-,Rv0015c,pknA
18759,20234,-,Rv0016c,pbpA
20231,21640,-,Rv0017c,rodA
21637,23181,-,Rv0018c,pstP
23182,23269,-,upstream_Rv0019c,upstream_fhaB
23270,23737,-,Rv0019c,fhaB
23738,23860,-,upstream_Rv0020c,upstream_fhaA
23861,25444,-,Rv0020c,fhaA
25445,25643,+,upstream_Rvnt03,upstream_leuT
25644,25726,+,Rvnt03,leuT
25727,25912,-,upstream_Rv0021c,upstream_Rv0021c
25913,26881,-,Rv0021c,Rv0021c
26882,27022,-,upstream_Rv0022c,upstream_whiB5
27023,27442,-,Rv0022c,whiB5
27443,27594,+,upstream_Rv0023,upstream_Rv0023
27595,28365,+,Rv0023,Rv0023
28362,29207,+,Rv0024,Rv0024
29208,29244,+,upstream_Rv0025,upstream_Rv0025
29245,29607,+,Rv0025,Rv0025
29608,29721,+,upstream_Rv0026,upstream_Rv0026
29722,31068,+,Rv0026,Rv0026
31069,31188,+,upstream_Rv0027,upstream_Rv0027
31189,31506,+,Rv0027,Rv0027
31507,31513,+,upstream_Rv0028,upstream_Rv0028
31514,31819,+,Rv0028,Rv0028
31820,32056,+,upstream_Rv0029,upstream_Rv0029
32057,33154,+,Rv0029,Rv0029
33155,33223,+,upstream_Rv0030,upstream_Rv0030
33224,33553,+,Rv0030,Rv0030
33554,34294,+,upstream_Rv0032,upstream_bioF2
34295,36610,+,Rv0032,bioF2
36607,36870,+,Rv0033,acpA
36867,37262,+,Rv0034,Rv0034
37259,38947,+,Rv0035,fadD34
38948,39055,-,upstream_Rv0036c,upstream_Rv0036c
39056,39829,-,Rv0036c,Rv0036c
39830,39876,-,upstream_Rv0037c,upstream_Rv0037c
39877,41202,-,Rv0037c,Rv0037c
41203,41303,+,upstream_Rv0038,upstream_Rv0038
41304,41912,+,Rv0038,Rv0038
41913,42003,-,upstream_Rv0039c,upstream_Rv0039c
42004,42351,-,Rv0039c,Rv0039c
42352,42432,-,upstream_Rv0040c,upstream_mtc28
42433,43365,-,Rv0040c,mtc28
43366,43561,+,upstream_Rv0041,upstream_leuS
43562,46471,+,Rv0041,leuS
46472,46580,-,upstream_Rv0042c,upstream_Rv0042c
46581,47207,-,Rv0042c,Rv0042c
47208,47365,-,upstream_Rv0043c,upstream_Rv0043c
47366,48100,-,Rv0043c,Rv0043c
48101,48232,-,upstream_Rv0044c,upstream_Rv0044c
48233,49027,-,Rv0044c,Rv0044c
49028,49042,-,upstream_Rv0045c,upstream_Rv0045c
49043,49939,-,Rv0045c,Rv0045c
49940,50020,-,upstream_Rv0046c,upstream_ino1
50021,51124,-,Rv0046c,ino1
51125,51184,-,upstream_Rv0047c,upstream_Rv0047c
51185,51727,-,Rv0047c,Rv0047c
51728,51827,-,upstream_Rv0048c,upstream_Rv0048c
51828,52697,-,Rv0048c,Rv0048c
52698,52830,+,upstream_Rv0049,upstream_Rv0049
52831,53244,+,Rv0049,Rv0049
53245,53662,+,upstream_Rv0050,upstream_ponA1
53663,55699,+,Rv0050,ponA1
55696,57378,+,Rv0051,Rv0051
57379,57409,+,upstream_Rv0052,upstream_Rv0052
57410,57973,+,Rv0052,Rv0052
57974,58191,+,upstream_Rv0053,upstream_rpsF
58192,58482,+,Rv0053,rpsF
58483,58585,+,upstream_Rv0054,upstream_ssb
58586,59080,+,Rv0054,ssb
59081,59121,+,upstream_Rv0055,upstream_rpsR1
59122,59376,+,Rv0055,rpsR1
59377,59408,+,upstream_Rv0056,upstream_rplI
59409,59867,+,Rv0056,rplI
59868,59895,+,upstream_Rv0057,upstream_Rv0057
59896,60417,+,Rv0057,Rv0057
60396,63020,+,Rv0058,dnaB
63021,63199,+,upstream_Rv0059,upstream_Rv0059
63200,63892,+,Rv0059,Rv0059
63893,63908,+,upstream_Rv0060,upstream_Rv0060
63909,64967,+,Rv0060,Rv0060
64968,65011,-,upstream_Rv0061c,upstream_Rv0061c
65012,65350,-,Rv0061c,Rv0061c
65351,65551,+,upstream_Rv0062,upstream_celA1
65552,66694,+,Rv0062,celA1
66695,66922,+,upstream_Rv0063,upstream_Rv0063
66923,68362,+,Rv0063,Rv0063
68363,68417,+,upstream_Rv0063a,upstream_Rv0063a
68418,68579,+,Rv0063a,Rv0063a
68580,68619,+,upstream_Rv0064,upstream_Rv0064
68620,71559,+,Rv0064,Rv0064
71560,71588,+,upstream_Rv0064A,upstream_vapB1
71589,71828,+,Rv0064A,vapB1
71821,72222,+,Rv0065,vapC1
72223,72273,-,upstream_Rv0066c,upstream_icd2
72274,74511,-,Rv0066c,icd2
74512,74628,-,upstream_Rv0067c,upstream_Rv0067c
74629,75198,-,Rv0067c,Rv0067c
75199,75300,+,upstream_Rv0068,upstream_Rv0068
75301,76212,+,Rv0068,Rv0068
76213,76236,-,upstream_Rv0069c,upstream_sdaA
76237,77622,-,Rv0069c,sdaA
77619,78896,-,Rv0070c,glyA2
78897,79485,+,upstream_Rv0071,upstream_Rv0071
79486,80193,+,Rv0071,Rv0071
80194,80623,+,upstream_Rv0072,upstream_Rv0072
80624,81673,+,Rv0072,Rv0072
81674,81675,+,upstream_Rv0073,upstream_Rv0073
81676,82668,+,Rv0073,Rv0073
82669,82747,+,upstream_Rv0074,upstream_Rv0074
82748,83983,+,Rv0074,Rv0074
83984,83995,+,upstream_Rv0075,upstream_Rv0075
83996,85168,+,Rv0075,Rv0075
85169,85182,-,upstream_Rv0076c,upstream_Rv0076c
85183,85572,-,Rv0076c,Rv0076c
85573,85635,-,upstream_Rv0077c,upstream_Rv0077c
85636,86466,-,Rv0077c,Rv0077c
86467,86527,+,upstream_Rv0078,upstream_Rv0078
86528,87133,+,Rv0078,Rv0078
87134,87207,-,upstream_Rv0078A,upstream_Rv0078A
87208,87801,-,Rv0078A,Rv0078A
87798,88004,-,Rv0078B,Rv0078B
88005,88203,+,upstream_Rv0079,upstream_Rv0079
88204,89025,+,Rv0079,Rv0079
89022,89480,+,Rv0080,Rv0080
89481,89574,+,upstream_Rv0081,upstream_Rv0081
89575,89919,+,Rv0081,Rv0081
89920,89923,+,upstream_Rv0082,upstream_Rv0082
89924,90403,+,Rv0082,Rv0082
90400,92322,+,Rv0083,Rv0083
92323,92327,+,upstream_Rv0084,upstream_hycD
92328,93278,+,Rv0084,hycD
93279,93288,+,upstream_Rv0085,upstream_hycP
93289,93951,+,Rv0085,hycP
93951,95417,+,Rv0086,hycQ
93952,93950,+,upstream_Rv0086,upstream_hycQ
95414,96892,+,Rv0087,hycE
96893,96926,+,upstream_Rv0088,upstream_Rv0088
96927,97601,+,Rv0088,Rv0088
97602,97757,+,upstream_Rv0089,upstream_Rv0089
97758,98351,+,Rv0089,Rv0089
98352,98479,+,upstream_Rv0090,upstream_Rv0090
98480,99250,+,Rv0090,Rv0090
99251,99683,+,upstream_Rv0091,upstream_mtn
99684,100451,+,Rv0091,mtn
100452,100582,+,upstream_Rv0092,upstream_ctpA
100583,102868,+,Rv0092,ctpA
102815,103663,-,Rv0093c,Rv0093c
103664,103709,-,upstream_Rv0094c,upstream_Rv0094c
103710,104663,-,Rv0094c,Rv0094c
104664,104804,-,upstream_Rv0095c,upstream_Rv0095c
104805,105215,-,Rv0095c,Rv0095c
105216,105323,+,upstream_Rv0096,upstream_PPE1
105324,106715,+,Rv0096,PPE1
106716,106733,+,upstream_Rv0097,upstream_Rv0097
106734,107603,+,Rv0097,Rv0097
107600,108151,+,Rv0098,fcoT
108152,108155,+,upstream_Rv0099,upstream_fadD10
108156,109778,+,Rv0099,fadD10
109779,109782,+,upstream_Rv0100,upstream_Rv0100
109783,110019,+,Rv0100,Rv0100
110001,117539,+,Rv0101,nrp
117540,117713,+,upstream_Rv0102,upstream_Rv0102
117714,119699,+,Rv0102,Rv0102
119700,119914,-,upstream_Rv0103c,upstream_ctpB
119915,122173,-,Rv0103c,ctpB
122174,122316,+,upstream_Rv0104,upstream_Rv0104
122317,123831,+,Rv0104,Rv0104
123832,123979,-,upstream_Rv0105c,upstream_rpmB1
123980,124264,-,Rv0105c,rpmB1
124265,124373,+,upstream_Rv0106,upstream_Rv0106
124374,125570,+,Rv0106,Rv0106
125571,125642,-,upstream_Rv0107c,upstream_ctpI
125643,130541,-,Rv0107c,ctpI
130542,130894,-,upstream_Rv0108c,upstream_Rv0108c
130895,131104,-,Rv0108c,Rv0108c
131105,131381,+,upstream_Rv0109,upstream_PE_PGRS1
131382,132872,+,Rv0109,PE_PGRS1
132873,133019,+,upstream_Rv0110,upstream_Rv0110
133020,133769,+,Rv0110,Rv0110
133770,133949,+,upstream_Rv0111,upstream_Rv0111
133950,136007,+,Rv0111,Rv0111
136008,136288,+,upstream_Rv0112,upstream_gca
136289,137245,+,Rv0112,gca
137246,137318,+,upstream_Rv0113,upstream_gmhA
137319,137909,+,Rv0113,gmhA
137910,137940,+,upstream_Rv0114,upstream_gmhB
137941,138513,+,Rv0114,gmhB
138513,139673,+,Rv0115,hddA
138514,138512,+,upstream_Rv0115,upstream_hddA
139674,139955,+,upstream_Rv0115a,upstream_Rv0115a
139956,140144,+,Rv0115a,Rv0115a
140145,140266,-,upstream_Rv0116c,upstream_ldtA
140267,141022,-,Rv0116c,ldtA
141023,141199,+,upstream_Rv0117,upstream_oxyS
141200,142144,+,Rv0117,oxyS
142128,143876,-,Rv0118c,oxcA
143877,144048,+,upstream_Rv0119,upstream_fadD7
144049,145626,+,Rv0119,fadD7
145627,147771,-,Rv0120c,fusA2
145627,145626,-,upstream_Rv0120c,upstream_fusA2
147772,147907,-,upstream_Rv0121c,upstream_Rv0121c
147908,148342,-,Rv0121c,Rv0121c
148343,148490,+,upstream_Rv0122,upstream_Rv0122
148491,148859,+,Rv0122,Rv0122
148856,149224,+,Rv0123,Rv0123
149225,149532,+,upstream_Rv0124,upstream_PE_PGRS2
149533,150996,+,Rv0124,PE_PGRS2
150997,151147,+,upstream_Rv0125,upstream_pepA
151148,152215,+,Rv0125,pepA
152216,152323,+,upstream_Rv0126,upstream_treS
152324,154129,+,Rv0126,treS
154130,154231,+,upstream_Rv0127,upstream_mak
154232,155599,+,Rv0127,mak
155600,155666,+,upstream_Rv0128,upstream_Rv0128
155667,156446,+,Rv0128,Rv0128
156447,156577,-,upstream_Rv0129c,upstream_fbpC
156578,157600,-,Rv0129c,fbpC
157601,157846,+,upstream_Rv0130,upstream_htdZ
157847,158302,+,Rv0130,htdZ
158303,158314,-,upstream_Rv0131c,upstream_fadE1
158315,159658,-,Rv0131c,fadE1
159659,159699,-,upstream_Rv0132c,upstream_fgd2
159700,160782,-,Rv0132c,fgd2
160783,160868,+,upstream_Rv0133,upstream_Rv0133
160869,161474,+,Rv0133,Rv0133
161475,161770,+,upstream_Rv0134,upstream_ephF
161771,162673,+,Rv0134,ephF
162644,163249,-,Rv0135c,Rv0135c
163250,163365,+,upstream_Rv0136,upstream_cyp138
163366,164691,+,Rv0136,cyp138
164692,164711,-,upstream_Rv0137c,upstream_msrA
164712,165260,-,Rv0137c,msrA
165261,165322,+,upstream_Rv0138,upstream_Rv0138
165323,165826,+,Rv0138,Rv0138
165827,166849,+,Rv0139,Rv0139
165827,165826,+,upstream_Rv0139,upstream_Rv0139
166850,166909,+,upstream_Rv0140,upstream_Rv0140
166910,167290,+,Rv0140,Rv0140
167271,167681,-,Rv0141c,Rv0141c
167682,167710,+,upstream_Rv0142,upstream_Rv0142
167711,168637,+,Rv0142,Rv0142
168638,168703,-,upstream_Rv0143c,upstream_Rv0143c
168704,170182,-,Rv0143c,Rv0143c
170183,170283,+,upstream_Rv0144,upstream_Rv0144
170284,171126,+,Rv0144,Rv0144
171127,171214,+,upstream_Rv0145,upstream_Rv0145
171215,172168,+,Rv0145,Rv0145
172169,172210,+,upstream_Rv0146,upstream_Rv0146
172211,173143,+,Rv0146,Rv0146
173144,173237,+,upstream_Rv0147,upstream_Rv0147
173238,174758,+,Rv0147,Rv0147
174759,174832,+,upstream_Rv0148,upstream_Rv0148
174833,175693,+,Rv0148,Rv0148
175694,175699,+,upstream_Rv0149,upstream_Rv0149
175700,176668,+,Rv0149,Rv0149
176665,176952,-,Rv0150c,Rv0150c
176953,177542,-,upstream_Rv0151c,upstream_PE1
177543,179309,-,Rv0151c,PE1
179310,179318,-,upstream_Rv0152c,upstream_PE2
179319,180896,-,Rv0152c,PE2
180897,181154,-,upstream_Rv0153c,upstream_ptbB
181155,181985,-,Rv0153c,ptbB
181986,181986,-,upstream_Rv0154c,upstream_fadE2
181987,183198,-,Rv0154c,fadE2
183199,183621,+,upstream_Rv0155,upstream_pntAa
183622,184722,+,Rv0155,pntAa
184723,185055,+,Rv0156,pntAb
184723,184722,+,upstream_Rv0156,upstream_pntAb
185052,186479,+,Rv0157,pntB
186480,186494,-,upstream_Rv0157A,upstream_Rv0157A
186495,186623,-,Rv0157A,Rv0157A
186624,186784,+,upstream_Rv0158,upstream_Rv0158
186785,187429,+,Rv0158,Rv0158
187430,187432,-,upstream_Rv0159c,upstream_PE3
187433,188839,-,Rv0159c,PE3
188840,188930,-,upstream_Rv0160c,upstream_PE4
